T2,T1,INFO,err90l,err95l,err99l
BTC,ETH,-0.0378845663522478,0.0524788434247126,0.0623385049166283,0.0814217207074329
BTC,USDT,-0.000231917836050111,0.000784203036175549,0.000931538152063076,0.00121670289249055
BTC,BNB,-0.0356915089818494,0.0322305409043975,0.0382859758621934,0.0500061725547015
BTC,XRP,-0.0390261417047425,0.0278343146943945,0.0330637920006141,0.0431853609803939
BTC,ADA,-0.0622020472888579,0.035152464904885,0.0417568674021664,0.0545395819130336
BTC,LTC,-0.0409636008462896,0.0464522239651294,0.055179611497972,0.0720713293034736
ETH,BTC,-0.0654972261023331,0.0525165944233974,0.0623833485271872,0.0814802919538772
ETH,USDT,-0.000756128687559718,0.00185101550448361,0.00219878205381084,0.00287187860089579
ETH,BNB,-0.0464118919988372,0.0331599090341641,0.0393899525496737,0.0514481012893698
ETH,XRP,-0.0644551803179565,0.0318932028614371,0.0378852591566162,0.0494827874698661
ETH,ADA,-0.0736187949894034,0.04174636575253,0.0495896223484599,0.0647701189857435
ETH,LTC,-0.0945641030299495,0.050671901264275,0.0601920766533206,0.0786182225676024
USDT,BTC,-0.00068870803679635,0.000862404270510868,0.00102443173951594,0.00133803329242898
USDT,ETH,-0.00264779079722132,0.00203159324995096,0.00241328652721447,0.00315204770901482
USDT,BNB,0.000733891413884979,0.00155422849409615,0.00184623505965361,0.00241140905750675
USDT,XRP,-0.00189884118178287,0.00178849187430904,0.00212451155978529,0.00277487224135221
USDT,ADA,-0.00213403469462675,0.00150785830314326,0.00179115289343079,0.0023394650036647
USDT,LTC,-0.00182555392714564,0.00139756554378025,0.00166013846412684,0.00216834411641057
BNB,BTC,-0.0345223510353532,0.0322421256314302,0.038299737113699,0.050024146434219
BNB,ETH,-0.0202794042638857,0.0331576666137152,0.039387288825989,0.0514446221400673
BNB,USDT,-0.00133769279776578,0.00141265728420923,0.0016780656224546,0.00219175918034886
BNB,XRP,-0.0232900732745078,0.0230527173708766,0.0273838339678292,0.0357666402845116
BNB,ADA,-0.00414220561153555,0.026622163980416,0.0316239038797669,0.0413046907817364
BNB,LTC,-0.0198055126579581,0.0318374963403361,0.0378190865618538,0.0493963579583397
XRP,BTC,-0.0323158558059417,0.0279304342629218,0.0331779703971677,0.043334491947321
XRP,ETH,-0.0411926723582355,0.0319954306806769,0.0380066934146222,0.0496413954803229
XRP,USDT,0.000564240407683466,0.00163175934406983,0.00193833231174356,0.00253169934595077
XRP,BNB,-0.0388099417914925,0.0230903150530269,0.0274284954569289,0.0358249736580296
XRP,ADA,-0.036890344435955,0.0316220282259511,0.0375631365593116,0.0490620559142029
XRP,LTC,-0.0397163907678431,0.0318576325212241,0.0378430059039995,0.049427599548081
ADA,BTC,-0.0039802252155089,0.0354982701636125,0.0421676421337458,0.0550761040114231
ADA,ETH,-0.00244583502286488,0.0420993803402825,0.0500089608890628,0.0653178264673474
ADA,USDT,-4.51688126867898e-05,0.00138318613118705,0.00164305746492522,0.00214603423990233
ADA,BNB,-0.0371748854868796,0.0267921434222893,0.0318258188531436,0.0415684164612488
ADA,XRP,-0.0295504755639688,0.0317838565479441,0.0377553689902852,0.0493131350077194
ADA,LTC,-0.0359604897922208,0.0379402587176368,0.045068428537314,0.0588648862528183
LTC,BTC,-0.0293803233049609,0.0464705561600611,0.0552013879234666,0.0720997719816706
LTC,ETH,-0.0187140751021153,0.0507162150231681,0.060244716027521,0.0786869760359458
LTC,USDT,-0.000524666794401314,0.00127181784290138,0.00151076543762831,0.00197324465322881
LTC,BNB,-0.0464291680006969,0.0317982679154192,0.0377724879480131,0.0493354944627111
LTC,XRP,-0.0571808536609944,0.0317321186645616,0.0376939106560853,0.0492328628977441
LTC,ADA,-0.0581433830074588,0.0376146317246708,0.044681623139609,0.0583596710394892
